label;text
leave_fact;Ist das irgendwie so n Ding wie ne Veganertoleranz? Weil ich hab die nämlich. Vorschläge für Therapie? #IDontCareAtAll @randomuser123
leave_fact;@PolitikFan22 Was soll das für ne politische Einstellung sein, wenn #ARD #ZDF falsche Bilder in ihre Berichte packen?! Oder nur einseitig und nicht neutral berichten?!
construct;@newsflash Es gibt immer nen Grund, warum Politiker nach Brüssel geschickt werden. Leider machen die da oft noch viel mehr kaputt.
leave_fact;wer hat mit dem falschen Sultan null Stress gehabt
opin;Und die Türkei meint, von der deutschen freien unabhängigen Presse falsch dargestellt zu werden? Ihr Türken habt’s doch selber in der Hand – ändert es!
construct;Aber dem türki Fake-Diktator voll in den ... krochen. Hoffentlich nur noch bis 09/17!!! #nichtmeinechefin @randomuser123
leave_fact;in der dicken Headline. Guck mal das Bild an. Jetzt bist du selber baff!
construct;wie läuft der Ausnahmezustand in Frankreich eigentlich? Gibt’s da nen Vergleich den man machen kann?
sarc;Richtig witzig.
leave_fact;@TomBauer oh wow, herr maas geht ja richtig auf zensur los!
other;die sollten alle in den Irak ziehen
construct;meint der feminazi der in so nem moschee abhängt, wo die ladies von den kerlen getrennt sind... @fempowerzone
construct;Nicht Terror, sondern Gleichgültigkeit, die weltweit zur Fluchtbewegung führt, ist der wahre Feind Nr 1.
opin;@MaxMüllerz Vollkommener Quatsch. Die zahlen z.B. auch Solidaritätssteuer, da müsste man denen doch mehr Befugnisse geben... @ella_hayali
construct;wenn's diesen sogenannten völkermord echt gab, warum um alles in der welt macht armenien dann nicht seine archiv auf? @randomuser123
construct;dann kümmert euch mal um die Gründe für die Flucht. Problem is halt einfach, dass keiner Bock drauf hat.
opin;Mit Ihrem Post zur Flüchtlingskrise bei @newaccount123 macht ihr euch und die Grünen total unwählbar.
other;Exakt, man kann auch sagen: Wer nicht wählt, is einfach undankbar.
construct;@Zolli92 @MarkoF55 @LienertBald Flüchtlinge die ankommen = total wehrlos, keine Waffen. Rechte Gruppe = mindestens verbal gefährlich.
opin;Silvester in Köln: Bullen völlig überlastet. Staat schafft Sicherheit nicht #Waffenlaw
sarc;ok Anzeige is draußen... äh Bewerbung
leave_fact;@MaxMeyer @newsflash EUCH ANZEIGEN, RUCKZUCK SEID IHR VOR DEM EUROPÄISCHEN GERICHTSHOF, IHR DEUTSCHEN UND EUROPÄISCHEN LEUTE, WIRKLICH!
leave_fact;@xyz_User Ist das Herabwürdigen von Leuten mit anderer Meinung wirklich nur was Dumme machen?
opin;"""I might support"" heißt nicht automatisch ""ich vote für sie"". Das heißt es definitiv nicht."
sarc;Merkel für immer das Opfer? So läuft ihre Amtszeit zu Ende? Oder gibt’s noch n heftigen Abschluss?
construct;Die Stimmen von alleinerziehenden Mamas, deren Kids in Armut leben, aber auch die von denen, die Altersarmut fürchten, sollten gehört werden. @randomuser123
opin;@TechGuru22 was geht mit strafen, die meistens von ausländern kommen? Schon bei der kleinsten sache sollte abgeschoben werden... zum beispiel
opin;@newsflash echt typisch bei #Erdogan... #extra3 #Türkei
opin;scheinbar ne autobombe omg soll das n witz sein? wie soll das sonst aussehen? echt peinlich, ey @randomuser123
other;Die Umfrageexperten müssen nicht gut aussehen, um in der Tagesschau auftauchen zu können. @newscheck360
leave_fact;@xyzCrew @newsflash ihr falschen #Scheinheiligen, ihr Schleimer von Israel.
leave_fact;@TomBauer @LinaFischer Schäuble ist halt Schwabe und denkt halt schwäbisch. Herr Bauer, die CDU wird 2017 von AFD und NPD abgelöst.
opin;Türkei will die Auslieferung von Straftätern, die nach Deutschland geflohen sind. Warum wollt ihr Verbrecher eigentlich behalten? @falscherUser123
construct;In Deutschland leben ungefähr 10 Mio Türken. Was passiert, wenn Deutschland die Grenzen wieder aufmacht?
opin;In der Türkei wird vielleicht noch entschieden, ob die Todesstrafe eingeführt wird. Die BRD sollte der Türkei da echt nicht reinreden wollen.
sarc;@newsflash Beantrage Asyl in Österreich. Merkel, Grüne und Linke machen sich breit. Deutsch-Österreich. Flüchtlinge nach DE.
construct;PKK/YPG sind keine echten Kurden, sondern Terrorgruppen!! Genau wie der IS werden die auch bekämpft! #FakeAccount123
leave_fact;Der hat schon immer nur rumgezickt und null Plan gehabt, hier zählt deutsches Recht, @randomuser.
construct;friedlich? die tragen Flaggen von so ner Terrorgruppierung!!! und ausgerechnet deutschland supportet die noch, voll traurig!
leave_fact;Und was treibt ihr grad so? Was bekommt ihr eigentlich von der Regierung für diesen Propaganda-Post bezahlt? @fakesupporter
opin;Kann sein, dass die Grünen dann n besseres Gewissen haben, weil sie voll die Förderung gemacht haben, aber trotzdem ist es total sinnlos.
opin;Terror muss überall gestoppt werden!
opin;Hey Leute, lasst euch nicht von Fake-News verarschen.. Guckt kenfm und hört kenfm.. So habt ihr wenigstens Hintergrundinfos.. @randomuser123
opin;Va gehts eher darum das fix klarzumachen, sonst ist der zug schon weg! Die türen sind ja sowieso dicht... @falscheraccount
sarc;„Deutsche“ „IS“ „Kids“? Ich hab das Gefühl, manche Leute an den richtigen Orten sind voll im Wahn?!? @falscher_account
construct;Das sind doch bloß leere Worte. Kurz danach kommt der Dolchstoß. Trauriges Beispiel ist die Türkei. Allah beschütz uns.
construct;eigentlich nicht erlaubt, weil es quasi andere BL benachteiligt.
other;ARD D-Land Umfrage
construct;Die Aussage is voll Wahlkampf. Wo zieht ihr eigentlich die Grenze zwischen den Pflichten der Kanzlerin und Wahlkampfgehab? #AngelaFake @randomaccount
opin;Die Abgeschobenen leiden unter der Politik von versch. Leuten & sind deren Opfer. #maisdemaiz123
construct;Weiter im Selbstzerstörungsmodus der Blockparteien. Dass dabei Deutschland kaputtgeht, ist anscheinend für die Auslöserin Merkel das Allerwichtigste. Ähm nee, eigentlich geht’s Merkel nur drum, an der Macht zu bleiben. Und für Seehofer (CSU), Linder (FDP) und die Grünen genauso. @falseAccount123
opin;Die Einstellung lässt sich leider nicht einfach löschen.
opin;Man müsste eigentlich sagen: keine europäische Kohle für die Türkei unter Erdowahn. Gibt ja auch clevere Leute in der Türkei. @falsche_karte
sarc;Wärn die #SPD-Leute echt schlau, wüssten sie, was richtig is – dann wären sie längst keine #SPD-Leute mehr... @randomUser42
construct;30.000 Leute dabei, jeder 2. mit ner verbotenen Fahne und die Polizei will uns weis machen, dass wir strafrechtlich belangt werden ?
leave_fact;Möbel Kram hat wieder schnauze offen.
construct;Kaum zu fassen, wie diese voll verblödeten am randalieren sind und dann wird die Polizei als die Bösen dargestellt. @xyzdummy
sarc;Peinlich echt
opin;Die Resultate sind jetzt schon eindeutig, da muss kein Referendum mehr initiiert werden. @falscheraccount
leave_fact;inselbewohner, die ihr zuhause verlieren, werden jetzt in die tundra verpflanzt! hat @reaktor_fan zu lang am tschernobyl-ding gechillt?
construct;Die bisherigen Angreifer muslimischen Glaubens kamen aus Ländern, die nicht auf der Liste sind. @randomUser123
construct;Ich mach mir auch Sorgen um unser Image weltweit. Aber @newsflash_wien vergisst leider, dass #Hitler aus Österreich kam.
construct;Pogromstimmung am Start, jetzt fehlt nur noch, dass Politiker und Medien direkt auffordern. Wer verurteilt diese Terroranschläge? Echt schlimme Zeiten. @falscheraccount123
opin;Ich find, anstatt dauernd über die Dunkelheit zu meckern, wär’s sinnvoller, sich richtig schlau zu machen. #iranprotests @fakespot123
opin;Das is mal wieder voll der typische Ostkind-Merkel Quatsch. Weniger Staat, bitte. Weniger Umverteilung!! Merkel müsste sich endlich mal der SPD anschließen. @andererUser94
leave_fact;"Der ""#linksradikale Konsens"" bei Medien & Machthabern ist meiner Meinung nach einfach nur populistische #Verblödung ohne jeglichen Beweis. Mal gucken, ob und wer am Ende verurteilt wird. @fakeUser123"
opin;Steini kapiert nicht, dass die GroKo lang genug am Start war zum regieren. Der Bürger hat die AfD gewählt, damit die mit am Ruder sind und nicht so'n zugemauertes Jamaika-Ding mit Grünen-Zielen, die Heimat als 10%-Partei am meisten schaden. Neuwahlen her, und zwar fix, kein Rumgeschiebe mehr.
leave_fact;Haben @falscheperson & @andereruser ihre Drogen an @fakesubject weitergegeben? Ganz ehrlich, #Merkel hat keinen 'kranken Mann' geerbt, sondern in den letzten 12 Jahren nur gezeigt, dass sie ne inkonsequent opportunistische Marionette von der Wirtschaftslobby is.
opin;Machen aber auch keine Anschläge im Namen von der FDP, oder?
sarc;"Aber nur weil hier leider Niqabs sind und Burka einfach schneller zu tippen ist, ;-)"
other;Keine Reisewarnung, weil das für den normalen Bürger nicht gilt. Es geht nur um die PKK und Gülen Terroristen. @fakeuser123
leave_fact;Krass krass krass mega dreist total riskant gefeiert linksgrüner Reporter #gruenenbeat
other;ich geb auf alles antwort, sobald ich daheim bin. Geduld bis so 22 Uhr bitte. @MoonLightFan @newsflashHeute
leave_fact;Der aggressive Angler sollte echt mal den Mund halten!
sarc;Warum existieren in der BRD eigentlich Tafeln???
construct;puuh. keine ahnung, wie sehr man solchen bildern trauen kann. #TrumpEröffnung @randomuser123
construct;Verhält sich so ein echter Demokrat, wenn er durch Kündigungen die Machtkontrolle abschwächt? @randomuser123 Bannon NSC
other;Nur komplett Polen?
sarc;Wann und wo exzellenter Service? Schreiber-Millionen Griechenland-Drama nur durch IWF oder was? @randomuser123
construct;Den politischen Gegner fightet man mit Argumenten, nicht mit dummen Antifa-Sachen.
opin;Wer behauptet, dass das ne Minderheit ist? Die Antifa. Zählt die doch einfach mal dazu, warum nich? (Obwohl es eigentlich so sein sollte)
opin;Der Teufel macht immer sein Geschäft auf den dicksten Haufen! @randomuser123
construct;mittlerweile: deutschland schickt noch immer waffen rüber an den bosporus @xyz_unbekannt
construct;Multikulti-Gesellschaft am Abgrund. Türkischer Nationalismus zeigt in liberalen NL sein echtes Gesicht. Hass statt Zusammenhalt.
construct;Wieso werden in Spanien oft Leute festgenommen, die Erdogan hinterherjagen?
other;Eine Truppe Journalis hängt durch die Straßen und kriegt richtig aufs Maul. Keiner von der deutschen Presse flippt aus.
opin;Die Grünen dürfen auf keinen Fall durchkommen.....
leave_fact;Heiko, mit so ner Argumentation zeigst du echt deine Verwirrung. Jeder Dödel meldet nach eigenem Plan und du glaubst, es bräuchte mehr Zahlen.
construct;Will hier jemand andeuten, dass die Justiz nicht unabhängig is? Wird da etwa direkt die Türkei als Vergleich herangezogen? @NewsChannelXYZ was meint denn @PolitikerMax?
opin;Meinungen und Berichte von @NewsFlash123, @DailyBuzzXYZ und @GlobalReportABC einfach so zu übernehmen, ohne sie zu checken, reicht auf Dauer nicht #Bumerang
opin;Wer lässt echt seine Frau und Kids in nem kriegsgebiet zurück? Bin klar für Asyl, aber nicht für nen generellen Familiennachzug!
construct;Wenn man null Plan hat, sollte man echt mal... die Bio von dunja hayali checken und staunen, was sie alles schafft @xyzauthor @mediennews
construct;"2) und ich red nicht von muslimischen Schülern. An meiner Schule, die hauptsächlich von Deutschen besucht wurde, war das ""normal""."
leave_fact;Herrn Steinmeier. Kaum jemand traut euch wirklich.
construct;Gegen Antisemitismus klar. Aber nicht gegen die Politik von Israel, die Land von den Nachbarn einverleibt. Für Russland gibt's wegen der Krim Sanktionen, aber Israel kann das einfach so machen.
leave_fact;KEINER muss sich verstecken. wer sind eigentlich die juden vom 21. jahrhundert, herr @xyz123?
other;Wo feiern wir Silvester? Wo feiern wir Silvester? Wo feiern wir Silvester? @partytime_freaks
construct;Peinlicher Gratis-Mut. Hat diese Pfeife jemals „klare Ansagen“ für Parteikumpels gebracht, die befohlen haben, dass an der Grenze haufenweise Männer, Frauen und Kinder wie Kaninchen erschossen wurden? Nope? Tja, wer hätt’s gedacht. @fakename123
construct;Das Unterstützen von Ausbeutung, Ausgrenzung und Armut hat echt nix mit Toleranz zu tun... @falscherUser
construct;allen Deutschen über alle Generationen hinweg ständig mit dem Holocaust kommen? berechtigte Kritik oder einfach nur Sorge um Familie = Nazi... @randomuser123
leave_fact;Der #Islam gibt dem dschihadistischen Terror die geistige Grundlage, er selbst ist die Bedrohung, die bei uns Fuß gefasst hat.
opin;Schon über 8 Wochen seit der #BTW2017. Nur am Rumsondieren, null Ergebnisse, nix. @parteiA @parteiB @parteiC und @parteiD als Firmen wären längst pleite! Trauriges Deutschland!
opin;Die Kids können ja nix dafür! Kein Kind darf hungern – egal wo auf der Welt!
other;Wo ist denn das kleine grüne Pflänzchen hin? @blumen_fan123
other;Nazis im Anzug mit schicken Reden und Doktoren-Titeln!! Aber nicht jeder Wähler ist gleich ein Nazi.
leave_fact;Sorry, aber dein Beitrag is so gehaltlos wie ein kaputter, leerer Ballon. Wer verirrt sich hier eigentlich wohin??? @falscheraccount
opin;Kaum zu glauben. Wer hat eigentlich evolutionär gesehen Anspruch auf das Meer? Der Mensch ist echt der übelste Jäger auf dem Planeten! @meerkingfake
opin;Ich will einfach nur ne ganz normale GroKo. Keine Hitler/WK-Verrückten, Npdler, Afdler oder Nazis. Checkt das! @randomuser123
construct;Dadurch werden alle, die für Trump gestimmt haben, in einen Topf mit Nazis geworfen, entmenschlicht & dämonisiert. Leute, die vorher schon 2x Obama gewählt hatten! @randomuser123
leave_fact;Mutti-Republik!
sarc;nazis gibt’s nich mehr, weil der letzte grad bei nem afd wahlplakat erstickt is @randomuser123
opin;Hätt ich nie gedacht, dass McCain mal links vom Presi auftaucht...
construct;NATO Land droht NATO Land, wir könnnen die Russen echt knicken. Oder läuft da heimlich was mit Moskau?
construct;hab grad mit dem #Klimagedöns ne Ablenkung am Start & jetzt tauchen überall die Folgen der eigenen Politik auf. #DieVerfolgten
other;Aufpassen.. .?? Nee.. besser ganz fernbleiben....
construct;Jetzt kommt die große Frage #müller oder echte grüne Politik? Im Moment scheint bei euch auch die #autofraktion zu siegen #dieselkonferenz
other;Bist du schon im Assozi-Club? Oder is das @fakemagazin vielleicht nur n mega cleverer Anti-Terror Move? #KänguruChroniken
construct;Der staatsrechtliche Rahmen (Gewaltenteilung) Bildung läuft anders. Geschichte wiederholt sich nicht. Nicht in der Vergangenheit hängen bleiben. @randomuser123
leave_fact;Lügenpresse, wieder mal so ein klarer Beweis. @falscheaccount
sarc;Der Widerstand gegen den deutschen Faschismus: keiner will da zurückstehn, ne!
construct;Krasse Ansage gegen die Nazi-Kollaborateure bei @newsflashxyz http://blauerbote.com/2015/01/10/ard-rechtfertigt-nazipropaganda-in-den-tagesthemen/ …
other;Läuft hier grad Wahlkampf direkt ausm Presseraum? #btw17
leave_fact;Was wenn ma in Integrationskursen mal die Passagen im Koran besprechen würd, die Juden runtermachen?
sarc;Merke: Wer blöde Fragen raushaut, bekommt auch blöde Antworten zurück.
sarc;wer Terroris und Umstürzler supportet, wird verhaftet oder rausgeschmissen. Krass, oder?
leave_fact;Warum sprecht ihr so frech die Unwahrheit? #TorVonBrandenburg Ein Mahnmal der Blamage! #Terrorgruppen Werbung! Kaum zu fassen! #MuslimischePropaganda #Denkmal! Euch müsste man die Erlaubnis entziehen, die Leute so dreist zu täuschen! Errichter: Freiheitskämpfer-Gruppe X!
leave_fact;Kipping soll mal besser die Fresse halten. Dann kriegt ihr auch mal Stimmen. Guckt euch #Merkel an. Die wird gewählt, obwohl die nix macht.
construct;Stimmt, die Frage is nur, ob sie da irgendwie mitgewirkt hat?
leave_fact;Solche dummen Neonazis gibt’s leider ständig, solche Vollidioten sollten echt hinter Gitter kommen.
leave_fact;Merkel und ihre Hofschranzen von den Grünen müssen weg! Nur Neuwahlen zählt!
leave_fact;wie kaum jemand sonst steht Heiko voll für Zensur &Überwachung rund um die Uhr. Perfekt für Recep's Propaganda-Show @fakeaccount123
leave_fact;Warum haben die Leute keinen Bock mehr auf ihre Politiker? Überheblich (@KalleBald)Verlogen (@Susi_Laut)Hetzer (@Tom_Quer)Grüne (Kids & Drogen Fanatiker)und so weiter...
leave_fact;"Oh Mann. Die Tagesschau stellt nur ne simple Umfrage und die Tichy-Gauland rastet komplett aus. Und die AfD will dann Volksentscheide wie in der Schweiz #FakeNewsParty #AfD  
@randomuser123"
leave_fact;Unsere Cops sind unbewaffnet. Terroristen laufen frei rum und werden als Migranten oder Flüchtlinge reingebracht. Wir sind total schutzlos. @randomaccount123
sarc;„Juden“ und „Israel“ sind nich dasselbe. Seit vielen Jahren ist der Staat Israel in den palästinensischen Gebieten eine Besatzungsmacht mit allem was dazugehört. Die tagtäglichen Kriegsverbrechen von Israel werden jetzt durch das Verbrennen von Flaggen auf schlimmste Weise beleidigt.
opin;Also was jetzt? Pink ist jetzt also n Geschlechterding für Mädels oder was? Der ganze Aktionismus wird echt nur noch lächerlich! @techguru94
construct;Will Erdogan die Todesstrafe in der EU wieder einführen? Die EU wird zur halben Diktatur. Und die EU diskutiert echt drüber. @fakespot123
leave_fact;Na, wer hätt's gedacht! Den linken Gutmenschen und den BahnhofstratscherInnen wird das bestimmt gar nich schmecken! @fakeuser123
leave_fact;Ohje, Merkel bringt ganz Deutschland Armut mit dem neuen braunen Jamaika-Wirbel @newsflash @tagesticker #kennews @leftparty #greens #socialdems @freeliberals
sarc;Israel will die ganze Welt. Israel ist gleich Amerika.
construct;Dann soll ma aa Merkels kinderlose Ehe als ungültig erklären. Gleiche Regeln für jeden. #LiebeFrauxyzSieWarenVorIhrerEheSchwanger
leave_fact;Und wer bewahrt uns vor dir und den Grünen Kriegshetzern?
construct;Wenn @Blattwerk123 noch echt grün wär, würd ich die wählen. Aber in Stuttgart regelt das Gericht die Luftqualität, nicht die grüne Politik.
sarc;Dann können sie sich eben als #Geflüchtete anmelden, dafür sind Milliarden an Geldern verfügbar.
construct;Es existiert keine feste #Maximalzahl für Asylanträge, die in Deutschland gestellt werden dürfen und trotzdem mit unserem Grundgesetz übereinstimmen!
leave_fact;Arschtritt, Türkenclown! Ihr habt echt nix Besseres verdient, ihr Faschos! Verpisst euch zurück in die Türkei! @randomuser123
construct;die deutsch türken, die so voll auf die erdogan diktatur abgehen, sollten echt mal fix zurück in ihr angebliches paradies ziehen
leave_fact;#Luegenpresse #FakeNews von den #oeffentlichrechtlichen #Mainstreammedien! Ursprünglich von #Islamisten gebaut. Das echte Bus-Barrikade wurde damals von der islamistischen Ahrar-al-Sham-Gruppe im umkämpften Aleppo errichtet, deren Fahne zeitweise auf den Bussen wehte. Ahrar-al-Sham ist stark umstritten.
construct;In Deutschland gibt's nicht ohne Grund die standesamtliche und die kirchliche Hochzeit.
construct;Ich dachte, die Bismark wär schon untergegangen? @cooluser123
leave_fact;"Mit dem ""Linksradikalen"" checkt man #ZDF klarer und der Tunnelblick ist auch auf #ARD am Start. Das hat nur noch die Aktuelle Kamera übertrumpft, aber selbst die haben nicht wirklich geglaubt, dass sie den ultimativen Wahrheits-Check bringen. Also besser genau gucken, wen man bei den Medien wählt!! @media_fakes"
opin;Die AfD is nich Teil von Deutschland!
opin;Als gläubiger Moslem ist das echt viel riskanter, tausendmal mehr.
leave_fact;Ja, voll. Wir kennen doch alle die Genauigkeit von Umfragen. Am 23. Juni 2016 wurde ne unumstößliche Entscheidung getroffen, die jetzt gültig und verbindlich ist. Dass @falscheNews jetzt schon einzelne Umfragen rausholt, die ihre eigene linke, grün-verseuchte europhile Agenda pushen...
construct;Schon echt seltsam, dass die Mehrheit Moslems sind und den Koran als Grundlage nehmen. Fakten sind halt manchmal schmerzhaft. @randomuser123
opin;Türkischen Botschafter direkt abschieben und sofort die Geldzufuhr stoppen Warnung vor Reisen, das checkt nur der ErdoWahn.
construct;Hey, das sind Verbrecher, die abgeschoben werden sollen.
construct;Wie viele Anschläge in Europa wurden eigentlich mit legalen Waffen durchgeführt? - Also echt!
construct;Mega nice. Zahlen WIR dann auch weniger Kohle?
construct;Checkt mal Berichte zum Alltag von Frauen in Kairo, zum Beispiel, und dann vergleicht das mit dem in, sagen wir, München. Als Linker kann man sich auch echt blind stellen. Mir geht da manchmal echt die Hutschnur hoch. @randomUser123
sarc;"Wenn die Grafik über linksradikale Gewalt wär, würde der Kommentar so lauten: ""Linke Gewalt nimmt stark ab - voll der positive Trend."""
construct;Genaueres gibt’s nicht? Komisch, dass F. Petty seine pol. Immunität verliert, aber nicht Merkel. Wahrscheinlich hat nur die #Opposition Plan davon.
sarc;"Und nicht vergessen: In die Mediathek hochladen, damit man ""Dinner for one"" auch morgen noch gucken kann! Da geht noch mehr. Beim Programmplanen ist noch viel Sparpotenzial drin! @randomuser123"
leave_fact;Aktivisten?! ECHTE LINKS-TERRORTYPEN!!!
sarc;Umfragezahlen brechen ein, da braucht’s dringend ne neue rechte Forderung. Gut gemacht @dark_pete
other;"Quatsch, Herr Meier. ""Das Netz"" das sind nicht sie. Und ihnen passt es nich, dass mal Klartext geredet wurde. Nur nicht von den Kuscheltypen."
opin;Wär's nich besser, einfach nich ständig mit d. Grünen Koalitionen einzugehen? Dann wär der Maghreb auch sicher erklärbar. @falscheUser123
leave_fact;unter kultur checkt sie sicher sowas wie wenn cousins und cousinen heiraten und deren bescheuerte kids dann fast die ganze welt kaputtmachen wollen
leave_fact;"Ihr verbreitet Falschmeldungen: Er hat gesagt ""auch ohne Pass Bürger von diesem Land"" und das ist was anderes als ""gehören zu uns"". Vaterlandsverräter @falscheraccount"
construct;Und Merkel hängt ab mit Diktator @falscheperson. #Scheinheilig #Doppelmoral --> #JA zu ner stolzen starken Türkei!
