label_1;label_2;label_3;label_4;text
sarc;sarc;construct;other;@MaxMüller @LisaSchmidt @NEWS24 wie sieht denn der horizont von NEWS24 zur Eurorettung aus, oder versteh ich das falsch?
opin;opin;opin;opin;@LunaStar @Mila_Hoffmann Ey LunaStar, du gehst voll tief in die Vergangenheit rein. Wie viele Kurden wurden eigentlich von Saddam vergast und leben jetzt in der Türkei?
opin;opin;opin;opin;@maxschmidt Klar, da müssen auf jeden Fall bald andere Kontrollen eingeführt werden.
opin;opin;opin;leave_fact;@MichiKunzey Ihr seid doch die Regierung und wisst seit Monaten Bescheid, da hättet ihr endlich mal handeln sollen und nich immer zu spät Forderungen stellen!
construct;sarc;other;opin;@LunaXYZ Dieser Tweet macht sich durch Neusprech selber lächerlich.
opin;opin;opin;opin;@falscheruser123 Leider wird weder der Koran noch die Aussagen von Mohammed hinterfragt und wer’s doch macht, kriegt Todessdrohungen.
opin;construct;opin;other;@NewsFlash Ich glaub auch unseren Medien, was sie zur Not der Geflüchteten berichten. Aber über die Schuldigen wird nix gesagt.
construct;construct;construct;construct;.@cooluser123 @newsflash Frankreich hat also in Syrien das Völkerrecht verletzt und meckert jetzt wegen Flüchtlingen?
other;leave_fact;leave_fact;leave_fact;"@Zuckerguss123 @nachrichtenflash @KlausT 2/2 Will halt positiv mitmischen - + anders als Du - sich bewusst ins ""Wutvolk"" reinzufinden"
opin;opin;opin;other;@fliegfix @newsflashde @KoloAli voll korrekt! Endlich mal sprüche, die echt was bedeuten! Die Kanzlerin macht genau dasselbe, wenn sie in T.ist unterwegs ist.
opin;construct;construct;construct;@FalconBlue ich hab den Koran auf deutsch gelesen und nirgendwo in den Suren ne Stelle gefunden, die solche Anschläge rechtfertigt
opin;construct;opin;construct;@userxyz aber da liegt nich nur die usa in der schuld, der assad trägt auch die verantwortung für den tod von fast ner halben million menschen
opin;sarc;construct;leave_fact;"@newsflash_de Das Geld für diese Staatsempfänge von ""Super-Demokraten"" bitte lieber sparen und in die Flüchtlingshilfe stecken."
other;other;opin;other;@maxrudel @technerd @sophies_blog @newsflash Ich kapier schon, dass ne Frau, die voll auf arabisches Essen steht, am liebsten nach Israel reisen will.
leave_fact;opin;opin;leave_fact;@ZuckerschnuteWird nicht klappen. Gibt ja gerade keine andere Option. Diese Nazi-Verrückten will echt keiner und der Rest macht halt Merkels Kram mit.
opin;opin;opin;other;@newsflash Respekt! Genau daran sieht man, was echter Qualitäts-Journalismus ist im Vergleich zu reiner Sensationslust ausm Boulevard.
construct;opin;other;opin;@Xylo123 Und das Geilste: Mit Support von so vielen Deutschen hier auf Twitter. Voll krass. @NewsVoice94
leave_fact;construct;opin;leave_fact;@TechGuru Wissenschaft ohne echtes Wissen ist keine Wissenschaft. RTh UTh ETh sind Fake! Wir werden verarscht!
sarc;opin;opin;opin;@xavier_müller @Lukas_Schmidt passiert bei Erdogan niemals. Wie man sieht, läuft das eher genau andersrum.
construct;construct;construct;construct;@max_muster Eine Terrorgruppe runterzuspielen sorgt nur dafür, dass Terroristen denken, sie hätten das Recht, ihre Attacken zu machen.
opin;other;other;opin;@max_kramer @newsflash Das is hier normal in Deutschland und betrifft meistens Ausländer. Griechen, Muslime, Amis, egal, diesmal sind es die eigenen Leute
opin;opin;construct;opin;@x_Mueller @klara_schmidt @jan_boehm Auch wenn sie plump sind, sind Ressentiments Meinungsäußerungen. Dürfen Leute keine Sorgen vor dem Islam aussprechen?
opin;opin;opin;opin;"@newsflash123 Heißt das jetzt, dass ""Dem deutschen Volke"" am Reichstag auch zu anstößig ist & weg soll? Total bescheuert der ganze Wirbel."
leave_fact;leave_fact;leave_fact;leave_fact;@KlausMeier @parteifreunde Noch nie is das Recht so tief gefallen wie in der GroKo mit dir als Justiz-Minister.
leave_fact;leave_fact;leave_fact;leave_fact;@z_kramer #FDP is so liberal wie die #CDU konservativ ist. Ihr seid doch alle ne große durchsozialdemokratisierte Einheitspartei. #AfD
other;other;other;other;@maxmustermann @cool_yt Jan Böhmermann hat 2015 leider keine Zeit.
opin;construct;opin;opin;@CoolDude123 Freiheit und Sicherheit passen nicht zusammen. Versuch mal, Feuer und Wasser zu vereinen.
leave_fact;construct;construct;construct;@newsflash_de @reporter_maxx und @tvfernsehen sagen: Griechen haben keine Ahnung von Demokratie https://propagandaschau.wordpress.com/2015/06/30/ard-und-zdf-die-griechen-sind-zu-dumm-fur-demokratie/ …
opin;opin;leave_fact;construct;@MaxMuster @NewsFlash @SusiSagt Der normale Mensch denkt schon seit langem, dass wir keine richtige Demokratie mehr haben.
other;other;other;other;@maxmuller @sonnenschein_22 @globetravel Madrid oder Mailand, hauptsache Italien!
opin;opin;sarc;opin;"@funzilla123 @newsflash Genau deshalb bin ich auch so scharf drauf ;-) Kohle geht nicht weg. Sie wandert nur von einer Tasche zur anderen. Unser ganzes Geld ..."
leave_fact;leave_fact;leave_fact;leave_fact;@NewsFlashDE @NewsDE @GovRep123 @PartyAlpha @PartiBeta @BetaParlWie blind seid ihr eigentlich, ständig GEGEN die Interessen vom Volk zu agieren und dabei Rechtsbruch zu begehen...
sarc;sarc;opin;other;@Wolkenstein Wie fix der Syrienkrieg vorbei wär, wenn alle Flüchtlinge nach Israelsk statt Europa gehn würden?
construct;construct;construct;sarc;@FakeUser Nur Ablenkung??? Während im Hintergrund heimlich Waffen an die Front gebracht werden? Von beiden Seiten?
sarc;opin;construct;sarc;@newsflash_de erinnert mich voll an die USA. Die haben immer gesagt, die haben Giftgas im Irak, Beweise und so. Was dann passiert ist, kennen wir ja...
opin;construct;construct;opin;@newsflash Russland ist der Ukraine schon richtig entgegengekommen, sogar mehr als der IWF erwartet hat. Also, wo genau liegt das Problem?
sarc;opin;sarc;sarc;@MaxMüller Voll die guten Deutschen schmeißen jetzt den Osten des Landes raus #Ostexit – total typisch #Blatt.
sarc;sarc;sarc;sarc;@newsflash top! Jetzt könnense die zukünftigen Arbeitslosen mit den aktuellen connecten und quatschen, wie man den Staat abzockt.
leave_fact;sarc;construct;sarc;@newsflash24 Er hat wohl vergessen zu erwähnen, dass er nur katholische Flüchtlinge aufnimmt. Die müssen dann auf seinem heiligen Balkon pennen.
leave_fact;leave_fact;leave_fact;leave_fact;@KarlSchmidt @LenaB123 denen kann man echt nich glauben! Der Maas is komplett am abkacken!!
leave_fact;opin;leave_fact;leave_fact;@MaxiMiller klar doch! Gutmenschen checken die Realität nicht, sehen alles durch ne rosarote Brille und haben oft falsche Meinungen, ohne an die Folgen zu denken.
opin;opin;leave_fact;leave_fact;@LunaBuzz @tagessight @FritzK kein Applaus von mir! Lieber die Realität statt dieser rosa Willkommens-Illusion!
other;construct;opin;sarc;"@newsflash Hat's irgendwo in der Geschichte mal so nen Fall gegeben, dass #refugees so ""heftig"" durch stabile Länder gerannt sind?"
construct;construct;construct;sarc;@newsflash24 @faktcheck Kurdische PKK-Kämpfer*innen riskieren ihr Leben gegen den IS, und die BRD nennt sie Terroristen. Wie soll man das verstehen?
sarc;other;sarc;other;@newsflash Aber bitte wirklich nur die Profis, da können die sich besser connecten.
leave_fact;leave_fact;other;sarc;@maxmueller ... naja, vielleicht entdeckt sie ja kurz vor der körperlichen (und lange nach der geistigen) Rente ihren Gefallen an indigenen Völkern.
leave_fact;leave_fact;leave_fact;leave_fact;@Kreuzfeld kriegt die enge Sichtweise von links einfach nich hin. Der Islam wird den Kreuzfelds da schon noch zeigen, wo's langgeht. Jetzt schon 9 Mio Muslime in D. @SusiL123
leave_fact;opin;leave_fact;leave_fact;@newsflash_de ... immer noch zu viele, die diese Herrscherin Merkel supporten würd!!! #Bananenrepublik #BRD
leave_fact;opin;leave_fact;leave_fact;@maxmustermann Die einzigen Dämme, die hier reißen, sind die von links! Wie momentan gegen die deutschen Leute aufgehetzt wird, ist einfach krass!
leave_fact;sarc;opin;opin;@newsupdate In welchem Land Europas fühlt man sich sicher? Wer steckt das Zelt an, in dem er grad schläft?
leave_fact;leave_fact;leave_fact;leave_fact;@newsflash Das, was newsflash bringt, ist eine mega krasse und richtig fiese Verleumdung!
leave_fact;construct;construct;construct;@LenaKunz Muss dann auch die Guillotine auf der #ttipdemo vor Gericht landen oder gilt im ihrem Rechtsstaat zwei Maß, Herr #maas?
sarc;sarc;sarc;sarc;"@newsflash Klaro. Noch mehr News: Papst sagt, er is Atheist Apple macht keinen Gewinn AfD meint: ""War doch nur Spaß!"""
opin;opin;construct;opin;@newsupdate Klar is, wo die Waffen versteckt sind. Aber sobald man die Iraker fragt, kriegt man natürlich keine Antwort zurück.
opin;opin;opin;opin;@Falko123 @Jonas_Mueller @Tina_89 @GovVoice voll meiner meinung, die machen echt politik gegen uns bürger. steuerpolitik total daneben
construct;construct;construct;opin;@x_timmer die Regel is, wer Schulden macht, muss die auch bezahlen. Das war auf keinen Fall das griechische Volk!
leave_fact;sarc;sarc;sarc;@RandomUser123 @newsflash @MaxMüller und wie viele Flüchtlinge hast du eigentlich daheim und zahlst für die?
opin;opin;opin;opin;"@x_peter Nie im Leben schafft #Griechenland es, seine Schulden zu tilgen. Und war auch niemals ""auf nem guten Pfad"". Das ist doch nur Täuschung."
sarc;other;other;sarc;@lena_mustermann meint, Frau Merkel sollte lieber mit Bloggern statt mit Leuten quatschen? Oder was soll der ganze Spaß jetzt?
opin;other;construct;opin;@Nebelgeist Voll andersrum. Die, die keinen Frieden anstreben, MÜSSEN mit Waffengewalt dazu gezwungen werden. Die verlieren den Fokus aufs Ziel.
construct;construct;construct;opin;@TechWizard123 #WhatsApp is now part of Facebook and they def got a base in Europe - Dublin. So, no probs here.
other;opin;opin;opin;@abcNews #Fluechtlinge #refugeeswelcome Der internationale Einfluss vom Papst wird in Dtl. oft unterschätzt. Lesen, beten, abhaken.
construct;construct;construct;construct;@Falkenberg98 Kurden wohnen da schon ewig. Türken sind erst mit den Kreuzzügen reingekommen. Bei dem Kampf haben Kurden und Türken zusammen gekämpft.
opin;construct;opin;opin;@xyz1234 @abcdefg Passende Gesetze gibt's genug, die werden nur nicht genutzt oder einfach umgangen. Unsere Erlebnisse zeigen das ganz klar.
leave_fact;other;leave_fact;sarc;.@maxmustermann das liegt am reality distortion field, in dem der @nickhansen dort chillt. Keine wirkliche Realität kommt da jemals durch.
leave_fact;leave_fact;other;sarc;@KlausBernd Es gibt #Sommerstorys und #Winterstories. Top Bewerbung für den Grimm Brüder Preis Herr Minister! LG
leave_fact;leave_fact;opin;leave_fact;@LunaSpark @MaxGeier @aktuellnews @RafiDuranLaber wir könnten ewig drüber diskutieren, am Ende ists alles die HABGIER der ZIONISTEN nach mehr Land.
opin;opin;opin;opin;@KarlMuench @BenSchmidt @TAGESBLICK Die Bild sagt's richtig. Die Leute haben echt die Nase voll.
other;other;other;other;@coolmike Der Markenname #TVTOTAL is jetzt für dich freigegeben.
other;other;other;other;@funkycarl Erika Steinbach, der neue Fler vom Neo Magazin Royale
construct;opin;sarc;leave_fact;@newsflash Da is Appell auch schon grenzwertig. Das Wort hat Hitler 1937 tatsächlich mal verwendet. Echt peinlich!
opin;opin;opin;opin;@neo_peter @user123 Damit kann ich nicht mitgehen. Demokratie bleibt Demokratie (gilt auch für die Grünen). PS: Pegida find ich auch kacke.
other;other;other;other;@cooldude123 Willst du mal wieder bei den Kids ankommen?
sarc;other;sarc;sarc;.@newsflash So sieht man’s doch! Da kommt schon der Erste. @sweetsbuzz Tolles Pferd, das Sie da haben. Nur bisschen rechtslastig isser.
other;other;other;other;@max_krutz bevor du fotos knippst, übst erst mal longboard cruisen!
sarc;other;other;other;@User1234 eigeneDaten? Wem gehört eigentlich der Thread? Kann jeder darüber quatschen oder nur über die eigenen Tweets? @webTwit @JoostGessche
construct;leave_fact;construct;sarc;"@newsflash Mathe kommt wieder zum Einsatz, liebe Medien; Unterschied. 12%=ungefähr jede/r 8. statt jede/r 10. Was meckert ihr da rum?"
construct;sarc;sarc;leave_fact;@LenaMeyer @TomSchmidt @NEWS24 Stimmungsmache 2.0. Erst PEGIDA, jetzt BFDRDD Bild zur Rettung der Demokratie. Muss später drüber lachen...
construct;construct;leave_fact;leave_fact;@SonneMarie Rassismus mit nem rassistischen Gehabe bekämpfen? Muss man erstmal auf so ne blöde Idee kommen. Echt totaler Fail.
other;other;other;other;@xyzuser du bewegst dich im viereck und drehst dich im rund...
construct;sarc;leave_fact;leave_fact;@krasswut @NEWSFLASH ja klar, die ballern die hetze raus, aber den Nazi-Kram lassen se weg... und plötzlich is hetze voll okay!
construct;construct;construct;construct;@LenaMeyer @newsflash @AliPirincho Wie meinst du das genau?
construct;construct;other;construct;#MinskTreffen heute #Puutin123 #Russki #Merkelchen #Holland1 mit #Poroschenky #Ukra1ne erste Steps Umsetzung #Ceasefire Call gemacht
construct;other;other;opin;@Bienenbart123 @newsflash_de @MinisterHeiko Wer glaubt, er hat recht, wenn er/sie mit krassem Extremismus+Gewalt gegen Minderheiten oder andere 1/2
opin;other;other;sarc;@maxmusti Mein Kollege verteilt die auch.. glaubt echt an so Freie-Energie-Maschinen. Tränchen für #AxelStoll
opin;construct;opin;opin;@MaxMuster @Lena_Leben @NewsCheck man kann nich sagen das wollt Folk... Hitler wurde auch demokratisch gewählt. Polarisierung bringt nix gutess
construct;other;leave_fact;leave_fact;"@newsflash Die Nutzung des aus längst vergangenen braunen Zeiten stammenden Begriffs ""Lügenpresse"" durch AfD- und PEGIDA-Fans ist schon ziemlich typisch."
construct;other;other;other;@coolguy123 @filmfan88 ok und nachm teilen jetzt bitte alle den mega geilen film anschauen: http://www.sueddeutsche.de/kultur/ipad-trailer-wir-sind-jung-wir-sind-stark-ipad-trailer-wir-sind-jung-wir-sind-stark-1.2314758 … #forreal #KinoTalk
leave_fact;other;other;other;@max.schroeder sieht man richtig, dass du sie brauchst. Chill mal Beyoncé
construct;other;opin;other;@newsflash123 @userXYZ Das läuft da genauso ab wie sonst auch – das Argument „Ja, aber ich drück damit nur meine ‚Sorge‘ + Kritik aus, weil“ ist 1/2
opin;leave_fact;leave_fact;leave_fact;@freakyfoxxx @oma_lissi Seit Hoyerswerda war klar, dass Deutschland wieder voll im üblen braunen Sumpf steckt.
opin;sarc;sarc;sarc;"@newsflash merci doppelt: Für das Foto und die nervigen ""aufgebrachten Leute"" drunter, die man sofort wegblocken kann."
construct;other;opin;opin;@Bienenbart @newsflash @MinisterM 2/2 Für Sport bin ich voll dabei und setz mich auch dafür ein – aber das Abschlachten von Menschen zu fordern, ist echt krass daneben.
other;other;other;other;@maxmueller Jan, du bist so wunderschön. Du machst mich komplett. Schon beim ersten Hallo hattest du mich.
other;other;other;other;@maxmusti @funfoodie @luisa.meinblick @globalnews Aber wohl wahr. Da gibt’s bestimmt auch ordentlich viel arabische Küche am Start.
construct;construct;other;sarc;@maxmuster Echt jetzt Frau @LenaLustig - erst mies trollen & jetzt meckern, weil ihr Echo kommt ... sollten Sie mal drüber nachdenken
other;opin;opin;other;@MegaUser123: auch bei der CSU - Hammer Auftritt, Höcke hat sich voll selbst enttarnt dadurch
construct;opin;construct;construct;@randomuser123 hab grad mal auf deine fb-Seite geguckt, und die Kommentare sind ja echt viele, aber größtenteils ganz freundlich, oder so?
opin;opin;leave_fact;opin;@DaveMiller @NinaKoch Mit dem @webtalker123 zu diskutieren bringt nix, der ist nur ein Troll, auch wenn er sich ab und zu verkleidet ...
other;other;leave_fact;other;"@blaueente Damals, als die ersten Unverschämten mit ""Leck mich, du Kartoffel"" loslegten... @newsflashshow"
other;other;other;other;@max_murphy Manchmal schleiche ich mich heimlich zur Süßwarenabteilung und ersetze die Nüsse in allen Toffifees durch tasty Klabüsterbeeren.
construct;construct;construct;other;@FalscherKontakt Hab’s mir ausgedruckt und an die Wand gehängt. Mal schauen, wie’s läuft. PLZ ist 57250 :). Gerade 3 Mbit im Industriegebiet.
construct;opin;opin;leave_fact;@fakenick123 @newsflashDE Hetze bleibt immer Nazi-Kram! Weil dahinter nur Angst und Hass gegenüber anderen lauert! Schon seit Hunderten von Jahren Nazi-Kram.
sarc;construct;sarc;sarc;@User1234 @Max_Mustermann und wer sorgt dafür, dass das Recht auf körperliche Unversehrtheit bei der Umweltverschmutzung durch RWE eingehalten wird?
other;other;other;other;@maxkrause nennt man das wohl mixed martial arts?
opin;opin;opin;other;@RealTalkMax @JonnySays @Lina_Das Dass Frauke P oder so nicht aufgenommen wird, versteh ich auch. Aber sonst? Ständig diese Mitglieder-Wechsel, Gaby immer dabei.
other;opin;sarc;opin;@coolkaty echt stark, wie du das aus deinem Herzen rausgeschrieben hast. Mega geil!
other;other;other;other;@maxmustermann Stefan Raab startet 2016 mitm @tvmagazin und präsentiert seine Sammlung blauer Hemden.
opin;other;leave_fact;other;@User1234 @CoolBeamter @Max_Mustermann In unserem Rechtsstaat liegt es an Justiz & Polizei, die nur die Rechte von RWE durchzusetzen.
other;other;other;other;@musikfan123 Aber nur mit Spice Girls Mucke! Das tut dann auf jeder Ebene weh!
leave_fact;opin;opin;leave_fact;@newsflash Keine News mehr wert, dass AfD = Nazischrott. Macht mal echte NEWS! :)
leave_fact;leave_fact;leave_fact;other;@LenaFischer @newsflash @HakanDemir Und weil Bachmann von Anfang an ein Vollpfosten war, überrascht es nicht, dass er wegen fehlender
construct;leave_fact;leave_fact;leave_fact;@CrazyUser123 @FlowerPower die Schlüsse, die manche aus ihren Ängsten ziehen, machen sie zu echten Vollpfosten!
opin;opin;opin;leave_fact;. @m_bauer @t_jones lol FDP und Piraten, voll das gleiche Team :)Wir wollen auch hier keine ehemaligen AfD-Leute mit krassen Ansichten
opin;opin;opin;construct;@TechGuru @cool_sven @GretaGreen willst du das echt vergleichen, oder?
other;other;opin;other;"@maxmuller Leute, die im TV auftreten und dann ne Pause machen, seh'n immer aus wie arbeitslose aus so 'ner RTL ""Mitten im Leben""-Serie."
other;other;opin;other;@newsflash123 @fruitmintcandy Ich geb meiner Mum auch n Bild, warum wird sowas nicht online geteilt?
other;other;other;other;@maxmiller Bei der nächsten Show will ich unbedingt KIZ am Start sehen :D
other;other;other;other;"@maxmiller Bist du etwa zu diesem ""Ich hab voll viele Follower, also bin ich wichtig"" Treffen mit Kai D. und Dagi B. gegangen? #the140"
opin;construct;construct;opin;@RandomUser123 @newsflash_de @PolitikHeute die ham null am Start! Darum geht’s ja auch überhaupt nicht! Es geht um die PROTESTwähler, die voll nicht klarkommen!
other;other;other;other;@max_schmidt Raab hat bei Jauch die 50 Euro Frage verhauen, deswegen übernimmt jetzt @tv_manni das TV Total. Oder so ähnlich.
other;other;other;other;@CoolMax123 @Lina_987 @Der_Frechling Foto 1 auf spanisch Alf und JeePee Foto 2 Ich lieb euch oder was?
leave_fact;leave_fact;leave_fact;leave_fact;@maxiKlein Noch schlimmer, wenn die Politik so schlecht läuft, dass sowas passiert. Zieh dich endlich zurück, du schaffst das einfach nicht.
sarc;sarc;other;other;@maxmuster Zeigt die Bild morgen echt, dass Hitler auch Depressionen hatte?
other;other;opin;other;@Klangfederchen wie gesagt, denk dir was aus und zahl nix zurück. @nachrichtenschau
opin;opin;opin;opin;@daniellerock @kruegerlabhen hörn euch zu und erklärn euch die Fakten, damit ihr nich nach rechts abdriftet. Ich geb mir Mühe. (3)
other;other;other;other;@maxmusti hab heut früh schon mit Losing my Religion losgelegt. #kohlofduty
other;leave_fact;opin;other;@coolvibes123 Deine Absichten sieht man klar! Du bist im Visier!
other;other;other;other;"@coolguy123 klappt leider nur bei hübschen Leuten ;)"
other;other;other;other;@maxmuller und jetzt mal ehrlich, stell dir vor wie schlimm Crystal Kasuppke es hat, wenn sie das hier liest.
construct;opin;opin;opin;"@max.mustermann @lisa_mueller Als echte Demokraten können wir so ein ""Referendum"" echt nicht ernsthaft als ""demokratisch"" bezeichnen."
sarc;sarc;sarc;opin;@newsflashde ich denk mal die werden bestimmt zum fighten benutzt. aber hey, ich bin ja kein experte. @cooluser123
construct;construct;construct;construct;"@randomUser123 ""Mehr härtere Asylbestimmungen verlangt - FDP geht rechts außen"" ""Lindner richtet sich an AfD-Supporter"" http://www.derwesten.de/politik/fdp-will-harte-regeln-fuer-zuwanderer-id10023768.html … @fakeAccount789"
other;other;other;other;@maxmustermann so n bissl. Aber passt schon. Mehr boobs wären nice.
other;other;other;other;@maxmuller @coolmagazin Ey, ich bin echt der Typ, der dir alles zugetraut hat.
opin;other;opin;opin;@newsflash Manchmal fühlt sich konsequent sein richtig allein an. Besser allein als mit der crowd und dabei andere zu verletzen. Die Menschenwürde ist heilig.
construct;sarc;sarc;sarc;@ZuckerfuerDieStimme Meinst du das auch, wenn Rechte Flüchtlingsheime in Brand stecken?
other;other;other;other;@maxmusti apropos Mittagspause. Im DWDL-Interview hast du doch Cola getrunken. Wolltest du das nicht eigentlich lassen?
other;other;other;other;Gut gemacht @max_meyer @tvshowdaily. Echt starkes Ding hier!
opin;opin;opin;opin;@LenaMeyer Hm, da bin ich anderer Meinung. Klar, vor paar Wochen wär das besser gewesen. Aber die meisten in der Bevölkerung checken genau, worum’s beim Referendum geht.
construct;sarc;opin;opin;@User123 @MaxLndnr Als ob ne Partei nicht jeden aufnimmt (solang er nich grad bei der NPD oder so war). Vielleicht bisschen Reue zeigen, dann klappts.
other;opin;other;other;@max_miller egal was alle labern, ich mochte dich schon immer!
other;opin;other;sarc;@maxxyz Weiß als Person spürt vielleicht nicht so den eigenen Rassismus, aber n bisschen Respekt gegenüber anderen is vielleicht doch nich verkehrt.
opin;construct;construct;opin;@RandomUser123 @newsdaily @MaxMust wer sich von den großen Parteien nicht mehr vertreten sieht, wählt halt radikal – gab's schon immer! history repeatet sich
other;other;other;other;@foodlover123 Küchen-Hack: Das gekochte Ei mit der Maggi-Würze statt Salz zu essen. Echt lecker!
leave_fact;leave_fact;sarc;sarc;@newsflash Wow, total unerwartet, dass die Nazis tatsächlich Naziterms benutzen.
opin;construct;opin;opin;@Max_Petersen Die Bullen machen klar, wer hier das Sagen hat bei RWE. Würdest doch auch nix anderes von denen wollen, wenn Fremde ohne Einladung auftauchen...
other;other;other;other;@coolmaxxx In Toffifee is echt viel Nass drin, richtig viel Nass in so nem Toffifee.
construct;construct;other;construct;.@SchnellBlick @newsflash danke für die Info. Was soll das denn bedeuten? Bin da zu wenig drin, das Ganze is irgendwie voll kompliziert.
construct;leave_fact;sarc;sarc;@maximusbeat @ClaraRedet @KarlMeyer voll Vertrauen in diesen Staat, oder? Nazis im sog. Verfassungsschutz. Und so weiter.
construct;construct;opin;opin;Ja, aber @coolaccount22 bitte auch mal die eigenen Beiträge checken :) Geht mir auch so: Manche Wörter mag ich nicht, trotzdem tipp ich sie manchmal :)
